,Date,Crypto,Quote,Open,High,Low,Close,Volume,Mean,Std Dev,Buy Signal,Sell Signal,Mean Reversion Signal,Momentum,Momentum Signal
287,2023-08-04 01:50:00,ETH,USD,3356652.07,3357804.15,3355280.53,3357493.27,693081.09,,,False,False,Hold,,Hold
286,2023-08-04 01:55:00,ETH,USD,3357493.27,3358389.34,3356889.8,3356908.09,555927.84,,,False,False,Hold,,Hold
285,2023-08-04 02:00:00,ETH,USD,3356889.8,3359449.99,3356889.8,3358956.24,502895.25,,,False,False,Hold,,Hold
284,2023-08-04 02:05:00,ETH,USD,3358956.24,3359486.57,3354951.37,3355518.27,669307.86,,,False,False,Hold,,Hold
283,2023-08-04 02:10:00,ETH,USD,3355536.55,3356030.3,3354768.5,3354786.78,568728.81,,,False,False,Hold,,Hold
282,2023-08-04 02:15:00,ETH,USD,3354805.07,3356542.34,3353854.14,3356359.47,654678.18,,,False,False,Hold,,Hold
281,2023-08-04 02:20:00,ETH,USD,3356359.47,3356761.79,3343521.93,3346191.85,5667172.29,,,False,False,Hold,,Hold
280,2023-08-04 02:25:00,ETH,USD,3346210.13,3352866.64,3345442.07,3352208.3,1764705.15,,,False,False,Hold,,Hold
279,2023-08-04 02:30:00,ETH,USD,3352226.59,3356268.04,3352208.3,3355518.27,724169.16,,,False,False,Hold,,Hold
278,2023-08-04 02:35:00,ETH,USD,3355518.27,3356304.61,3355499.98,3356268.04,281621.34,,,False,False,Hold,,Hold
277,2023-08-04 02:40:00,ETH,USD,3356286.32,3356780.08,3355317.11,3356396.05,700395.93,,,False,False,Hold,,Hold
276,2023-08-04 02:45:00,ETH,USD,3356414.33,3356926.37,3354987.94,3356030.3,437061.69,,,False,False,Hold,,Hold
275,2023-08-04 02:50:00,ETH,USD,3356030.3,3356213.18,3355682.85,3355701.14,283450.05,,,False,False,Hold,,Hold
274,2023-08-04 02:55:00,ETH,USD,3355701.14,3356048.59,3355042.8,3355042.8,259676.82,,,False,False,Hold,,Hold
273,2023-08-04 03:00:00,ETH,USD,3355061.09,3355061.09,3352519.18,3353726.13,570557.52,,,False,False,Hold,-3767.1400000001304,Sell
272,2023-08-04 03:05:00,ETH,USD,3353707.84,3353726.13,3352025.43,3352592.33,574214.94,,,False,False,Hold,-4315.7599999997765,Sell
271,2023-08-04 03:10:00,ETH,USD,3352610.62,3355170.81,3352153.44,3355170.81,459006.21,,,False,False,Hold,-3785.4300000001676,Sell
270,2023-08-04 03:15:00,ETH,USD,3355152.52,3355170.81,3353561.55,3354219.88,384029.1,,,False,False,Hold,-1298.3900000001304,Sell
269,2023-08-04 03:20:00,ETH,USD,3354201.59,3356414.33,3354201.59,3356414.33,248704.56,,,False,False,Hold,1627.5500000002794,Buy
268,2023-08-04 03:25:00,ETH,USD,3356414.33,3356414.33,3355042.8,3355975.44,343797.48,3355073.8895,2608.98036702081,False,False,Hold,-384.03000000026077,Sell
267,2023-08-04 03:30:00,ETH,USD,3355975.44,3356798.36,3354878.22,3354896.5,281621.34,3354944.051,2546.098117592832,False,False,Hold,8704.649999999907,Buy
266,2023-08-04 03:35:00,ETH,USD,3354896.5,3355317.11,3353067.79,3353067.79,896067.9,3354752.036,2534.968159313013,False,False,Hold,859.4900000002235,Buy
265,2023-08-04 03:40:00,ETH,USD,3353067.79,3353086.08,3352043.72,3352756.91,524839.77,3354442.0695,2367.3082611813834,False,False,Hold,-2761.3599999998696,Sell
264,2023-08-04 03:45:00,ETH,USD,3352756.91,3353835.85,3352756.91,3353031.22,305394.57,3354317.717,2373.1151809163553,False,False,Hold,-3236.8199999998324,Sell
263,2023-08-04 03:50:00,ETH,USD,3353031.22,3353031.22,3351074.5,3351952.28,718683.03,3354175.992,2427.641157113506,False,False,Hold,-4443.770000000019,Sell
262,2023-08-04 03:55:00,ETH,USD,3351952.28,3354512.48,3351952.28,3354402.75,610789.14,3354078.1560000004,2373.846484668361,False,False,Hold,-1627.5499999998137,Sell
261,2023-08-04 04:00:00,ETH,USD,3354402.75,3354402.75,3354000.44,3354000.44,186528.42,3354468.5855,1483.7950823957226,False,False,Hold,-1700.7000000001863,Sell
260,2023-08-04 04:05:00,ETH,USD,3354018.72,3355847.43,3354000.44,3355682.85,579701.07,3354642.313,1406.624027379412,False,False,Hold,640.0500000002794,Buy
259,2023-08-04 04:10:00,ETH,USD,3355682.85,3355920.58,3353214.09,3353232.38,826576.92,3354528.0185,1424.4588571334607,False,False,Hold,-493.75,Sell
258,2023-08-04 04:15:00,ETH,USD,3353232.38,3353232.38,3351751.12,3351769.41,338311.35,3354303.0870000003,1488.9583098262378,True,False,Buy,-822.9199999999255,Sell
257,2023-08-04 04:20:00,ETH,USD,3351751.12,3351769.41,3350727.05,3350727.05,415117.17,3354019.6369999996,1604.6578349097051,True,False,Buy,-4443.760000000242,Sell
256,2023-08-04 04:25:00,ETH,USD,3350727.05,3351659.69,3348752.04,3351165.94,654678.18,3353776.419,1651.814465389959,True,False,Buy,-3053.939999999944,Sell
255,2023-08-04 04:30:00,ETH,USD,3351165.94,3351165.94,3349264.08,3350891.63,568728.81,3353535.9435,1706.0606649611618,True,False,Buy,-5522.700000000186,Sell
254,2023-08-04 04:35:00,ETH,USD,3350891.63,3352025.43,3350690.47,3351111.08,1265467.32,3353339.3575000004,1749.2651424337282,True,False,Buy,-4864.35999999987,Sell
253,2023-08-04 04:40:00,ETH,USD,3351184.22,3353854.14,3350946.49,3353854.14,396830.07,3353345.758,1750.9881564973477,False,False,Hold,-1042.3599999998696,Sell
252,2023-08-04 04:45:00,ETH,USD,3353835.85,3354951.37,3353835.85,3354933.08,334653.93,3353462.7955,1776.0276908116452,False,False,Hold,1865.2900000000373,Buy
251,2023-08-04 04:50:00,ETH,USD,3354951.37,3356432.62,3354933.08,3356121.74,365742.0,3353510.3419999997,1835.8802813377752,False,True,Sell,3364.8300000000745,Buy
250,2023-08-04 04:55:00,ETH,USD,3356103.45,3356505.77,3355353.68,3356487.48,422432.01,3353623.722,1948.5686751034839,False,True,Sell,3456.2599999997765,Buy
249,2023-08-04 05:00:00,ETH,USD,3356487.48,3356725.21,3355463.4,3355463.4,404144.91,3353576.1755,1887.537890746463,False,False,Hold,3511.1200000001118,Buy
248,2023-08-04 05:05:00,ETH,USD,3355463.4,3357145.82,3354951.37,3356926.37,610789.14,3353623.722,1961.6763259048676,False,True,Sell,2523.6200000001118,Buy
247,2023-08-04 05:10:00,ETH,USD,3356926.37,3356944.66,3355317.11,3355317.11,272477.79,3353644.7525,1978.2243445143088,False,False,Hold,1316.6699999999255,Buy
246,2023-08-04 05:15:00,ETH,USD,3355335.4,3356725.21,3355317.11,3355390.26,599816.88,3353760.876,2010.4762063339228,False,False,Hold,-292.59000000031665,Sell
245,2023-08-04 05:20:00,ETH,USD,3355408.54,3357072.67,3355390.26,3357054.38,272477.79,3353975.7495,2123.9744943121973,False,True,Sell,3822.0,Buy
244,2023-08-04 05:25:00,ETH,USD,3357054.38,3357767.58,3356780.08,3356798.36,396830.07,3354164.1064999998,2201.4291083970024,False,True,Sell,5028.949999999721,Buy
243,2023-08-04 05:30:00,ETH,USD,3356780.08,3358919.67,3356780.08,3358627.07,1053336.96,3354497.846,2349.4426878426816,False,True,Sell,7900.020000000019,Buy
242,2023-08-04 05:35:00,ETH,USD,3358608.79,3358627.07,3357511.56,3358206.47,323681.67,3354688.032,2491.02781955286,False,True,Sell,7040.530000000261,Buy
241,2023-08-04 05:40:00,ETH,USD,3358224.76,3359120.82,3358206.47,3359120.82,449862.66,3354944.051,2673.11256073875,False,True,Sell,8229.189999999944,Buy
240,2023-08-04 05:45:00,ETH,USD,3359102.54,3359120.82,3358974.53,3358992.82,175556.16,3355109.5494999997,2819.7050598667493,False,True,Sell,7881.739999999758,Buy
