order_no,id,created_at,updated_at,submitted_at,filled_at,expired_at,canceled_at,failed_at,replaced_at,filled_avg_price,qty,filled_qty,type,side,time_in_force,limit_price,stop_price,status,extended_hours,legs,trail_percent,trail_price,hwm,asset_id,symbol,current_price,pnl
0,89a75ad9-7dcc-4fad-970a-6d7368674c62,2023-06-08 11:05:18.426858+00:00,2023-06-08 11:05:18.464565+00:00,2023-06-08 11:05:18.424954+00:00,2023-06-08 11:05:18.428909+00:00,,,,,13.975246,1.0,1.0,market,buy,gtc,,,filled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,-0.3452459999999995
1,9c61f216-c291-4d76-bacb-70ca1851e2f8,2023-06-08 11:05:18.385453+00:00,2023-06-08 12:19:13.664712+00:00,2023-06-08 11:05:18.383397+00:00,2023-06-08 12:19:13.637820+00:00,,,,,13.910151909,21.0,21.0,limit,buy,gtc,13.910151909,,filled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,-5.883190088999976
2,1652fe85-1b21-49ef-9120-f8a9e30e5b8f,2023-06-08 08:25:12.779946+00:00,2023-06-08 08:25:12.814000+00:00,2023-06-08 08:25:12.778611+00:00,2023-06-08 08:25:12.781707+00:00,,,,,1844.488,1.0,1.0,market,buy,gtc,,,filled,False,,,,,a1733398-6acc-4e92-af24-0d0667f78713,ETH/USD,1839.62,-4.8680000000001655
3,fd94d798-0a20-411e-97a4-d6ee5f509798,2023-06-08 08:25:12.737646+00:00,2023-06-08 08:25:12.764748+00:00,2023-06-08 08:25:12.736576+00:00,2023-06-08 08:25:12.741351+00:00,,,,,1844.207518,1.0,1.0,limit,buy,gtc,1868.485866076,,filled,False,,,,,a1733398-6acc-4e92-af24-0d0667f78713,ETH/USD,1839.62,-4.5875180000000455
4,b686f6b3-6796-45dc-8088-6d95b9aac765,2023-06-08 05:05:19.974526+00:00,2023-06-08 05:05:20.013794+00:00,2023-06-08 05:05:19.973245+00:00,2023-06-08 05:05:19.976456+00:00,,,,,18.8298,107.0,107.0,market,buy,gtc,,,filled,False,,,,,9226ef75-ba41-4a4b-a1b4-96e1a1b818f0,SOL/USD,17.17,-177.5985999999997
5,6db66abc-ced1-444a-b70d-ee4c654f6e46,2023-06-08 05:05:19.932976+00:00,2023-06-08 05:31:38.313503+00:00,2023-06-08 05:05:19.931642+00:00,2023-06-08 05:31:38.267792+00:00,,,,,18.731165455,78.0,78.0,limit,buy,gtc,18.731165455,,filled,False,,,,,9226ef75-ba41-4a4b-a1b4-96e1a1b818f0,SOL/USD,17.17,-121.77090548999982
6,948a34d7-ea66-4f5a-af63-85bd2040ae9a,2023-06-08 05:05:18.145641+00:00,2023-06-08 05:05:18.164163+00:00,2023-06-08 05:05:18.144557+00:00,2023-06-08 05:05:18.147514+00:00,,,,,88.569,22.0,22.0,market,buy,gtc,,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,6.6220000000000425
7,4fcd5380-bfe9-4c41-a184-605fac958106,2023-06-08 05:05:18.103824+00:00,2023-06-08 05:05:18.113756+00:00,2023-06-08 05:05:18.102585+00:00,2023-06-08 05:05:18.106260+00:00,,,,,88.540666,6.0,6.0,limit,buy,gtc,90.149149839,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,1.9760040000000174
8,ef6d26bb-814d-48f8-aa50-0c50f5497a2f,2023-06-08 05:05:15.698310+00:00,2023-06-08 05:05:15.713791+00:00,2023-06-08 05:05:15.697120+00:00,2023-06-08 05:05:15.700247+00:00,,,,,13.896622691,143.0,143.0,market,buy,gtc,,,filled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,-38.127044812999785
9,299cd4dd-ee1d-449a-b4d3-e7db313216f4,2023-06-08 05:05:15.658179+00:00,2023-06-08 05:05:15.663564+00:00,2023-06-08 05:05:15.656686+00:00,2023-06-08 05:05:15.660260+00:00,,,,,13.884,34.0,34.0,limit,buy,gtc,13.91199996,,filled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,-8.635999999999985
10,f2f87cbf-10f3-493c-a711-a52e232c6926,2023-06-08 05:05:13.802533+00:00,2023-06-08 05:05:13.815126+00:00,2023-06-08 05:05:13.801258+00:00,2023-06-08 05:05:13.804897+00:00,,,,,59.368394801,33.0,33.0,market,buy,gtc,,,filled,False,,,,,8588af33-3a8e-4a09-bb6c-ba4226dc7aff,AAVE/USD,59.7,10.942971567000065
11,a93b7086-7422-45be-9e6f-761c679e4287,2023-06-08 05:05:13.760568+00:00,2023-06-08 05:19:15.964179+00:00,2023-06-08 05:05:13.759312+00:00,2023-06-08 05:19:15.942100+00:00,,,,,59.280463472,26.0,26.0,limit,buy,gtc,59.280463472,,filled,False,,,,,8588af33-3a8e-4a09-bb6c-ba4226dc7aff,AAVE/USD,59.7,10.907949728000048
12,a3b2781f-bebe-42df-823f-b574f1440a96,2023-06-08 05:00:35.250740+00:00,2023-06-08 05:00:35.263333+00:00,2023-06-08 05:00:35.249593+00:00,2023-06-08 05:00:35.252654+00:00,,,,,1844.81838,1.0,1.0,market,buy,gtc,,,filled,False,,,,,a1733398-6acc-4e92-af24-0d0667f78713,ETH/USD,1839.62,-5.198380000000043
13,150048db-ffb0-4d03-88a4-f11ec93a55b5,2023-06-08 05:00:35.197085+00:00,2023-06-08 05:00:35.214343+00:00,2023-06-08 05:00:35.195911+00:00,2023-06-08 05:00:35.199443+00:00,,,,,1845.3277,1.0,1.0,limit,buy,gtc,1868.973597658,,filled,False,,,,,a1733398-6acc-4e92-af24-0d0667f78713,ETH/USD,1839.62,-5.707700000000159
14,b48114b4-facf-4beb-9353-c3af1fd29b0b,2023-06-08 05:00:33.372692+00:00,2023-06-08 05:00:33.414615+00:00,2023-06-08 05:00:33.371359+00:00,2023-06-08 05:00:33.374688+00:00,,,,,59.41707916,33.0,33.0,market,buy,gtc,,,filled,False,,,,,8588af33-3a8e-4a09-bb6c-ba4226dc7aff,AAVE/USD,59.7,9.33638772000009
